home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
VFF, AGF, 3:2, 3, 2
FCM, LBK, 2:0, 2, 0
AAB, OB, 2:2, 2, 2
RFC, FCK, 0:3, 0, 3
FCN, BIF, 3:1, 3, 1
SIF, ACH, 1:0, 1, 1
