home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
LBK, AAB, 0:2, 0, 2
VFF, OB, 0:0, 0, 0
BIF, FCK, 1:1, 1, 1
FCN, AGF, 1:1, 1, 1
FCM, ACH, 2:1, 2, 1
SIF, RFC, 3:3, 3, 3
