home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
FCN, ACH, 2:0, 2, 0
RFC, FCK, 0:2, 0, 2
LBK, AGF, 0:1, 0, 1
SIF, VFF, 1:2, 1, 2
BIF, AAB, 3:2, 3, 2
FCM, OB, 1:2, 1, 2
