home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
AGF, ACH, 2:0, 2, 0
VFF, RFC, 2:2, 2, 2
SIF, FCN, 2:1, 2, 1
LBK, BIF, 1:0, 1, 0
FCK, OB, 7:0, 7, 0
AAB, FCM, 0:0, 0, 0
