home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
LBK, FCK, 0:3, 0, 3
FCM, AGF, 0:2, 0, 2
FCN, SIF, 0:2, 0, 2
RFC, VFF, 1:0, 1, 0
AAB, BIF, 2:1, 2, 1
OB, ACH, 1:0, 1, 0
