home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, AAB, 2:1, 2, 1
FCM, ACH, 3:0, 3, 0
SIF, LBK, 3:0, 3, 0
BIF, FCK, 1:1, 1, 1
AGF, FCN, 2:3, 2, 3
RFC, VFF, 2:0, 2, 0
