home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
FCK, SIF, 1:0, 1, 0
LBK, RFC, 0:2, 0, 2
OB, VFF, 1:2, 1, 2
ACH, BIF, 0:2, 0, 2
FCM, AAB, 0:2, 0, 2
AGF, FCN, 2:3, 2, 3
