home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
ACH, FCN, 1:0, 1, 0
AGF, AAB, 3:1, 3, 1
RFC, SIF, 3:2, 3, 2
LBK, OB, 0:2, 0, 2
VFF, BIF, 0:0, 0, 0
FCM, FCK, 2:1, 2, 1
