home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
SIF, AAB, 2:2, 2, 2
VFF, FCN, 0:1, 0, 1
ACH, FCM, 0:2, 0, 2
BIF, RFC, 3:2, 3, 2
AGF, FCK, 0:2, 0, 2
OB, LBK, 3:0, 3, 0
