home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, FCM, 1:5, 1, 5
AAB, ACH, 0:0, 0, 0
AGF, RFC, 0:0, 0, 0
VFF, FCK, 4:2, 4, 2
SIF, BIF, 2:0, 2, 0
FCN, LBK, 2:1, 2, 1
