home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
SIF, FCM, 3:3, 3, 3
FCK, VFF, 2:1, 2, 1
FCN, BIF, 2:1, 2, 1
AGF, OB, 1:0, 1, 0
LBK, ACH, 1:1, 1, 1
AAB, RFC, 0:1, 0, 1
