home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
AAB, AGF, 0:1, 0, 1
OB, RFC, 0:0, 0, 0
LBK, FCN, 1:1, 1, 1
SIF, FCK, 0:3, 0, 3
BIF, ACH, 5:2, 5, 2
VFF, FCM, 0:4, 0, 4
