home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
ACH, FCM, 3:3, 3, 3
FCK, RFC, 1:3, 1, 3
VFF, SIF, 2:0, 2, 0
AAB, FCN, 0:0, 0, 0
BIF, OB, 2:0, 2, 0
AGF, LBK, 1:0, 1, 0
