home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, FCM, 3:1, 3, 1
LBK, SIF, 1:1, 1, 1
ACH, AAB, 2:0, 2, 0
BIF, VFF, 2:1, 2, 1
FCK, FCN, 2:2, 2, 2
AGF, RFC, 1:0, 1, 0
