home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, AAB, 2:1, 2, 1
FCM, LBK, 1:3, 1, 3
VFF, FCN, 1:1, 1, 1
ACH, FCK, 1:4, 1, 4
BIF, SIF, 2:1, 2, 1
RFC, AGF, 1:2, 1, 2
