home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
LBK, VFF, 1:1, 1, 1
FCK, FCN, 1:1, 1, 1
AGF, FCM, 0:1, 0, 1
OB, SIF, 1:1, 1, 1
RFC, BIF, 2:3, 2, 3
ACH, AAB, 0:0, 0, 0
