home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, LBK, 3:1, 3, 1
FCK, FCM, 1:1, 1, 1
RFC, FCN, 0:2, 0, 2
ACH, SIF, 3:2, 3, 2
AGF, BIF, 2:2, 2, 2
AAB, VFF, 1:3, 1, 3
