home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
FCM, AAB, 2:0, 2, 0
OB, SIF, 1:0, 1, 0
LBK, ACH, 4:2, 4, 2
FCK, VFF, 3:1, 3, 1
BIF, AGF, 2:0, 2, 0
RFC, FCN, 1:2, 1, 2
