home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
SIF, LBK, 0:2, 0, 2
ACH, OB, 3:3, 3, 3
AGF, FCK, 0:2, 0, 2
BIF, VFF, 0:2, 0, 2
FCN, AAB, 5:1, 5, 1
RFC, FCM, 0:0, 0, 0
