home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, FCK, 2:1, 2, 1
AAB, LBK, 1:1, 1, 1
FCN, FCM, 1:1, 1, 1
BIF, RFC, 2:2, 2, 2
SIF, AGF, 1:0, 1, 0
VFF, ACH, 2:1, 2, 1
