home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
ACH, RFC, 5:1, 5, 1
VFF, AGF, 1:1, 1, 1
AAB, SIF, 1:2, 1, 2
FCK, LBK, 3:0, 3, 0
OB, BIF, 1:1, 1, 1
FCM, FCN, 0:0, 0, 0
