home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
OB, ACH, 2:2, 2, 2
VFF, FCK, 3:1, 3, 1
BIF, FCN, 2:4, 2, 4
SIF, FCM, 1:1, 1, 1
LBK, AAB, 1:2, 1, 2
RFC, AGF, 2:2, 2, 2 
