home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
RFC, ACH, 1:0, 1, 0
LBK, FCM, 3:3, 3, 3
FCN, VFF, 1:0, 1, 0
FCK, BIF, 4:1, 4, 1
OB, AGF, 1:2, 1, 2
SIF, AAB, 3:1, 3, 1
