home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
AAB, ACH, 2:1, 2, 1
LBK, FCM, 1:2, 1, 2
SIF, OB, 2:2, 2, 2
RFC, BIF, 0:2, 0, 2
AGF, VFF, 0-0, 0, 0
FCN, FCK, 3-2, 3, 2 
