home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
ACH, AGF, 2:1, 2, 1
RFC, AAB, 1:0, 1, 0
VFF, LBK, 2:1, 2, 1
FCN, FCK, 3:1, 3, 1
SIF, OB, 1:2, 1, 2
BIF, FCM, 0:2, 0, 2
