home_team_abbreviated, away_team_abbreviated, score, goals_home_team, goals_away_team
FCN, OB, 4:2, 4, 2
RFC, LBK, 1:0, 1, 0
ACH, VFF, 0:3, 0, 3
FCK, AAB, 1:0, 1, 0
AGF, SIF, 1:1, 1, 1
FCM, BIF, 0:1, 0, 1
