league_name, positions_to_champions_league_qualification, positions_to_europa_league_qualification, positions_to_conference_league, positions_to_upper_league, positions_to_lower_league, positions_to_relegation_group, positions_to_championship_playoff
Superligaen, 1, 2, 0, 0, 2, 6, 6
NordicBetliga, 0, 0, 0, 2, 2, 6, 6
